"Reservoir","Reservoir_type","Year","Cyanobacteria_Max_cells/ml","logCyanoMax_cells/ml","Chlorophyll_a_ug/l","Secchi_cm","TP_ppb","P_dissolved_ppb","TKN_ppm","NH3_ppm","NOx_ppm","TOC_ppm","Alkalinity_ppm","NH36to8inflow_ppm","TKN6to8inflow_ppm","NOx6to8inflow_ppm","TP6to8inflow_ppb","TOC6to8inflow_ppm","Summer_precip_inches","Summer_precip_Z-score","mayST_Celsius","junST_Celsius","julST_Celsius","augST_Celsius","mayDO_mg/l","junDO_mg/l","mayDT_Celsius","junDT_Celsius","julDT_Celsius","augDT_Celsius"
"BRR",2,2007,"34295.9","4.535","na","36.0","na","na","0.459","0.018","0.008","2.70","70.0","0.015","0.180","0.671","114.8","2.4",8.11,-1.437,"22.92","27.00","28.24","29.94","2.97","1.11","14.90","16.24","17.06","18.27"
"BRR",2,2010,"na","na","na","47.0","na","na","na","na","na","na","na","na","na","na","na","na",15.88,0.571,"na","28.68","29.70","30.10","na","0.57","na","17.31","19.68","22.80"
"BRR",2,2015,"388149.5","5.589","8.29","59.7","13.3","na","0.880","0.122","0.013","3.52","86.4","0.186","0.800","1.181","67.3","2.4",19.19,1.427,"na","26.40","na","28.18","na","0.39","na","15.16","na","23.16"
"BRR",2,2016,"1029119.0","6.012","7.46","51.0","34.9","na","0.566","0.085","0.026","5.88","82.1","na","na","na","na","na",16.61,0.76,"20.85","27.59","29.42","28.86","4.22","0.56","15.35","17.61","21.42","24.36"
"BVR",2,1990,"na","na","5.00","58.0","na","na","na","na","na","na","na","na","na","na","na","na",18.12,1.905,"14.23","19.15","27.29","26.64","8.92","5.56","11.21","13.29","16.86","18.18"
"BVR",2,1991,"na","na","na","na","na","na","na","0.050","na","na","235.5","0.000","na","na","na","3.0",8.77,-0.723,"18.93","26.77","26.11","25.36","6.99","4.26","10.37","15.28","13.45","14.10"
"BVR",2,1993,"30787.0","4.488","9.22","68.0","na","na","na","na","na","na","165.6","na","na","na","na","na",10.83,-0.144,"12.64","na","na","26.04","9.91","na","9.54","na","na","14.03"
"BVR",2,1995,"34748.2","4.541","8.39","53.0","na","na","na","na","na","8.70","122.0","na","na","na","na","16.4",12.34,0.281,"15.86","23.69","26.13","28.88","9.75","4.70","11.47","15.40","16.59","18.18"
"BVR",2,1996,"na","na","na","55.0","na","na","na","na","na","5.22","134.3","na","na","2.540","na","6.1",12.84,0.421,"14.49","23.46","26.55","26.73","9.54","5.31","11.67","15.32","16.89","17.06"
"BVR",2,1997,"na","na","12.34","70.7","na","na","na","na","1.590","5.15","na","na","na","2.120","na","8.9",10.19,-0.324,"14.51","20.30","26.86","27.68","7.60","5.77","10.35","15.23","16.24","17.30"
"BVR",2,2003,"1770.4","3.248","na","83.7","na","na","na","na","na","na","na","na","na","na","na","na",15.57,1.188,"17.26","20.82","26.63","26.93","6.32","2.45","10.04","13.05","18.76","22.06"
"BVR",2,2004,"3647.2","3.562","na","99.5","na","na","na","na","na","na","na","na","na","na","na","na",11.87,0.149,"18.55","24.65","25.28","24.97","7.04","3.06","10.04","16.11","18.82","19.95"
"BVR",2,2007,"5751.5","3.760","na","52.0","na","na","0.413","0.018","0.674","5.78","142.0","0.000","0.215","1.488","9.0","4.1",8.06,-0.922,"19.72","25.25","26.39","27.92","7.64","4.21","9.35","10.79","12.44","13.56"
"BVR",2,2008,"24493.3","4.389","na","na","19.7","na","0.858","0.062","1.168","10.88","167.5","0.113","0.400","1.550","8.3","21.0",6.11,-1.47,"16.65","24.03","25.65","26.41","7.96","3.81","11.25","17.93","20.96","21.40"
"BVR",2,2009,"na","na","na","68.5","97.5","na","0.763","0.112","4.215","14.65","153.3","0.058","0.530","7.300","45.0","23.0",9.29,-0.576,"19.24","24.85","25.65","27.07","7.26","3.28","12.90","15.70","16.79","18.57"
"BVR",2,2010,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.15,-0.897,"17.69","25.72","28.54","28.62","6.64","1.76","11.95","16.81","22.27","21.82"
"BVR",2,2014,"38359.4","4.584","na","35.0","na","na","na","na","na","na","na","0.092","1.000","1.410","38.6","2.9",12.75,0.396,"na","na","na","25.33","na","na","na","na","na","18.44"
"BVR",2,2015,"202880.1","5.307","9.24","35.0","27.0","na","1.700","0.125","1.435","5.20","na","0.214","0.900","2.380","9.0","4.4",15.74,1.236,"na","na","25.64","26.66","na","na","na","na","17.99","21.91"
"BVR",2,2016,"901215.4","5.955","9.15","52.0","42.8","na","0.656","0.028","0.028","7.94","na","0.018","0.399","0.623","107.0","5.9",14.4,0.86,"16.19","24.65","26.89","29.16","6.01","2.90","11.38","12.58","13.42","14.12"
"BVR",2,2017,"1388807.7","6.143","6.75","76.0","62.4","27","0.722","0.116","1.578","6.10","180.3","0.092","0.340","2.950","60.0","4.4",13.98,0.742,"17.96","23.59","26.61","26.65","6.05","2.06","13.27","16.87","21.61","23.20"
