"Reservoir","Reservoir_type","Year","Cyanobacteria_Max_cells/ml","logCyanoMax_cells/ml","Chlorophyll_a_ug/l","Secchi_cm","TP_ppb","P_dissolved_ppb","TKN_ppm","NH3_ppm","NOx_ppm","TOC_ppm","Alkalinity_ppm","NH36to8inflow_ppm","TKN6to8inflow_ppm","NOx6to8inflow_ppm","TP6to8inflow_ppb","TOC6to8inflow_ppm","Summer_precip_inches","Summer_precip_Z-score","mayST_Celsius","junST_Celsius","julST_Celsius","augST_Celsius","mayDO_mg/l","junDO_mg/l","mayDT_Celsius","junDT_Celsius","julDT_Celsius","augDT_Celsius"
"BHR",1,1987,"na","na","na","162.0","5.0","5","0.125","0.050","na","0.50","43.5","0.000","0.125","0.075","5.0","1.0",8.7,-1.319,"na","na","na","na","na","na","na","na","na","na"
"BHR",1,1988,"235.6","2.372","na","na","5.0","32.5","0.050","0.050","na","1.00","34.0","0.000","0.175","0.150","11.0","2.0",8.86,-1.277,"na","na","na","na","na","na","na","na","na","na"
"BHR",1,1991,"na","na","na","103.0","35.5","10","0.133","0.050","0.350","4.50","48.0","0.033","0.300","0.333","29.7","3.3",13.53,-0.067,"23.83","26.62","28.39","27.56","na","3.83","16.09","21.10","23.55","25.35"
"BHR",1,1992,"2626.8","3.419","na","na","70.0","70","na","0.050","0.100","3.00","40.0","0.050","na","0.200","140.0","3.5",17.13,0.866,"20.27","23.27","27.76","26.22","7.78","6.38","14.58","18.19","21.43","22.66"
"BHR",1,1993,"2292.5","3.360","na","97.0","5.0","na","na","0.250","na","3.00","26.0","0.200","na","na","na","3.0",13.57,-0.057,"21.36","25.42","30.90","28.02","8.73","3.90","14.10","18.55","21.60","22.44"
"BHR",1,1996,"na","na","na","106.0","na","na","na","na","na","2.80","40.0","na","na","0.045","na","3.3",14.19,0.104,"20.91","26.17","27.77","27.19","8.62","5.55","15.29","17.99","19.58","22.52"
"BHR",1,1998,"23.1","1.363","3.04","na","na","na","na","na","na","na","na","na","na","na","na","na",13.64,-0.039,"20.75","27.01","28.60","28.20","6.52","4.85","14.20","18.99","21.78","22.75"
"BHR",1,1999,"639.5","2.806","na","na","5.0","5","0.175","na","0.090","1.90","54.5","na","0.200","0.120","13.3","2.5",7.38,-1.661,"22.89","26.78","29.11","28.19","6.15","1.77","17.25","18.65","20.55","22.26"
"BHR",1,2001,"108.1","2.034","na","na","na","na","na","na","na","na","na","na","na","na","na","na",16.19,0.622,"24.18","24.87","27.15","29.27","5.52","2.60","15.05","17.89","21.34","23.08"
"BHR",1,2002,"114.5","2.059","na","116.0","na","na","na","na","na","na","na","na","na","na","na","na",7.97,-1.508,"18.07","28.52","28.56","28.02","7.68","4.31","15.21","16.69","19.01","21.64"
"BHR",1,2004,"601.1","2.779","na","100.3","na","na","na","na","na","na","na","na","na","na","na","na",17.98,1.086,"22.76","27.01","26.89","27.09","6.74","3.33","15.75","18.26","22.57","22.46"
"BHR",1,2005,"2578.7","3.411","na","96.0","na","na","na","na","na","na","na","na","na","na","na","na",13.04,-0.194,"20.82","26.11","28.58","29.22","6.93","3.58","12.80","16.96","21.44","24.11"
"BHR",1,2007,"1698.2","3.230","na","120.0","na","na","0.190","0.018","0.010","2.54","86.0","na","na","na","na","na",9.71,-1.057,"23.10","25.84","27.37","28.40","5.52","2.06","16.53","17.95","20.51","23.20"
"BHR",1,2008,"9774.4","3.990","na","na","4.6","na","na","0.012","0.017","14.00","138.4","na","na","na","na","na",11.04,-0.712,"19.01","26.83","27.32","26.65","6.04","3.60","15.59","18.83","20.20","23.75"
"BHR",1,2009,"na","na","na","58.5","87.9","na","0.594","0.020","0.800","6.86","115.7","0.019","0.525","1.059","64.5","9.6",14.65,0.223,"20.21","26.52","26.98","26.46","7.44","5.68","15.47","19.34","21.28","22.19"
"BHR",1,2010,"na","na","na","63.0","na","na","na","na","na","na","na","na","na","na","na","na",16.08,0.593,"22.41","27.01","27.59","28.14","6.29","2.86","16.14","19.26","21.36","24.44"
"BHR",1,2017,"85271.2","4.931","2.58","168.0","5.1","50","0.164","0.080","0.107","2.76","76.0","0.073","0.130","0.155","8.0","2.3",14.33,0.14,"22.85","25.56","28.75","27.39","6.96","3.27","16.63","20.01","23.47","23.82"
"BHR",1,2018,"704232.2","5.848","10.87","115.0","61.3","49.8","0.193","0.077","0.044","3.04","114.2","na","na","na","na","na",15.99,0.57,"23.02","26.97","27.76","27.82","5.98","2.55","16.53","23.25","22.82","25.00"
